tree_index,section_id,svgs_in_section,file_a,file_b
1,table-1,2,Tree_1a.html,Tree_1r.html
2,table-2,2,Tree_2a.html,Tree_2r.html
3,table-3,2,Tree_3a.html,Tree_3r.html
4,table-4,3,Tree_4a.html,Tree_4r.html
5,table-5,3,Tree_5a.html,Tree_5r.html
6,table-6,2,Tree_6a.html,Tree_6r.html
7,table-7,2,Tree_7a.html,Tree_7r.html
8,table-8,2,Tree_8a.html,Tree_8r.html
9,table-9,2,Tree_9a.html,Tree_9r.html
10,table-10,2,Tree_10a.html,Tree_10r.html
11,table-11,2,Tree_11a.html,Tree_11r.html
12,table-12,2,Tree_12a.html,Tree_12r.html
13,table-13,2,Tree_13a.html,Tree_13r.html
14,table-14,2,Tree_14a.html,Tree_14r.html
15,table-15,2,Tree_15a.html,Tree_15r.html
16,table-16,2,Tree_16a.html,Tree_16r.html
17,table-17,2,Tree_17a.html,Tree_17r.html
18,table-18,3,Tree_18a.html,Tree_18r.html
19,table-19,2,Tree_19a.html,Tree_19r.html
20,table-20,2,Tree_20a.html,Tree_20r.html
21,table-21,2,Tree_21a.html,Tree_21r.html
